,[0.97567568 0.93243243 0.88378378 0.94594595 0.8972973 ],,,,[0.84329897 0.70137457 0.74742268 0.83436426 0.82508591],,,,[0.75891759 0.64083641 0.70128273 0.74661747 0.82091388],,,,[0.76789084 0.6431993  0.69981129 0.75148788 0.80908827],,,,[0.79781923 0.63294798 0.74973726 0.78662462 0.82052293],,,,[0.81151079 0.64772182 0.79784173 0.82012232 0.8401487 ],,,,[0.7849252  0.64982739 0.81081703 0.81919669 0.84394061],,,,[0.97247706 0.98165138 0.9266055  0.97477064 0.94495413],,,,[0.92031334 0.90788763 0.93976229 0.83873582 0.89438142],,,,[0.91323792 0.92352415 0.91681574 0.82364341 0.90966011],,,,[0.91600496 0.9235732  0.91563275 0.82828784 0.91836228],,,,[0.92815025 0.92552146 0.91711259 0.79087037 0.95631757],,,,[0.9324192  0.91654423 0.89166422 0.84533255 0.94279557],,,,[0.92655945 0.91875058 0.88462254 0.87867237 0.95528077],,,,[0.96829971 0.97838617 0.98991354 0.98847262 0.94380403],,,,[0.95010395 0.96486486 0.95426195 0.97192764 0.97005614],,,,[0.92715363 0.97240695 0.96724566 0.98054591 0.97042184],,,,[0.90227161 0.97589278 0.96943695 0.97720029 0.96739397],,,,[0.90071029 0.97657372 0.97015038 0.97279528 0.96712764],,,,[0.90864054 0.971949   0.96699454 0.96939891 0.96837887],,,,[0.92121819 0.97083006 0.96582541 0.97004361 0.96782727],,,,[0.9754902  0.92892157 0.96323529 0.96314496 0.97297297],,,,[0.93166144 0.86269592 0.91504702 0.93197492 0.93479624],,,,[0.90579948 0.8482962  0.8931848  0.94266055 0.91448231],,,,[0.87882111 0.83906785 0.87030436 0.93076501 0.90471621],,,,[0.88313298 0.84235965 0.900471   0.93430838 0.90889936],,,,[0.87816275 0.83724641 0.90289492 0.93298382 0.90711192],,,,[0.90092982 0.86650432 0.90867833 0.94465353 0.92096524],,,,[0.96137339 0.94635193 0.97854077 0.96781116 0.93133047],,,,[0.85260347 0.8694259  0.91108144 0.83497997 0.87366453],,,,[0.84199409 0.86903253 0.88873239 0.83140845 0.88211268],,,,[0.85170198 0.86965837 0.87941912 0.82061659 0.87322938],,,,[0.86733657 0.87399797 0.86891724 0.81551315 0.87533875],,,,[0.87590999 0.86453392 0.84688362 0.80882515 0.87457253],,,,[0.87967798 0.86671744 0.84212817 0.82025895 0.87618322],,
,0.6893103448275862,,,,0.7368965517241379,,,,0.7751724137931034,,,,0.783448275862069,,,,0.8144827586206896,,,,0.8417241379310345,,,,0.83,,,,0.7179707652622528,,,,0.7457724276296933,,,,0.8139868157065062,,,,0.8420750931498997,,,,0.8615649183147034,,,,0.8779019776440241,,,,0.8950988822012038,,,,0.9083523736989083,,,,0.9532876364559533,,,,0.9677583142929678,,,,0.9611576542269612,,,,0.9667428281289667,,,,0.9677583142929678,,,,0.9662350850469662,,,,0.7481567714396585,,,,0.8040357004268529,,,,0.8346915017462165,,,,0.8490492821109817,,,,0.8459448971672487,,,,0.8494373302289484,,,,0.8579743888242142,,,,0.7546549835706462,,,,0.845929171230376,,,,0.8765972982840453,,,,0.8736765242789339,,,,0.882073749543629,,,,0.8831690397955458,,,,0.895947426067908,,
,0.7384475978302985,,,,0.8313754358775668,,,,0.8454642580395196,,,,0.8580540488182875,,,,0.8687983339790778,,,,0.8802485470747773,,,,0.8773682681131344,,,,0.7458134428119418,,,,0.8199160883403169,,,,0.8437444356274083,,,,0.8468731326733082,,,,0.8651069599817076,,,,0.8742567840216637,,,,0.8753256347590653,,,,0.6923225014809173,,,,0.8438732334771938,,,,0.8894431750867395,,,,0.8842663112465093,,,,0.8896851992891597,,,,0.8917521367521368,,,,0.9007129559109757,,,,0.8486373981135331,,,,0.8878986193305168,,,,0.9108385557745279,,,,0.911057845865762,,,,0.9186357486706729,,,,0.9216272468891793,,,,0.926238631477281,,,,0.8224272972744595,,,,0.8627348616817212,,,,0.8915173914710268,,,,0.9075835552716137,,,,0.9237378320318106,,,,0.9232785005783541,,,,0.932325032048831,,
,0.37341918578127276,,,,0.4948332189788693,,,,0.5308436825008281,,,,0.5614974065126614,,,,0.598960998314875,,,,0.6242960373444923,,,,0.5776329963130206,,,,0.3050061626429839,,,,0.43134742545459226,,,,0.4839402934344167,,,,0.520760520337214,,,,0.5495781133972889,,,,0.5697113228827382,,,,0.5752459954246306,,,,0.1908001182641843,,,,0.4290601877947473,,,,0.48498602097489707,,,,0.5017002412104752,,,,0.5115360924226547,,,,0.5149985963015128,,,,0.5334437765743805,,,,0.5169022135097345,,,,0.603894810996386,,,,0.6609402672719993,,,,0.6656820840054489,,,,0.6710799868820537,,,,0.6812852213068117,,,,0.6946068948093916,,,,0.4814471355257751,,,,0.5196369787090098,,,,0.5837828035072845,,,,0.6253739669647056,,,,0.6866070327928316,,,,0.6773147252905822,,,,0.7124001345669838,,
,,[0.98648649 0.92162162 0.86756757 0.94054054 0.89459459],,,,[0.81271478 0.68556701 0.71580756 0.80824742 0.79175258],,,,[0.75856616 0.6374978  0.68476542 0.74081884 0.82214411],,,,[0.74640732 0.63303818 0.69806939 0.73523008 0.80386179],,,,[0.78192328 0.63360483 0.74553337 0.78373407 0.80882933],,,,[0.77517986 0.63033573 0.7853717  0.8180837  0.82120158],,,,[0.81265823 0.68101266 0.82025316 0.83680516 0.84301991],,,,[0.98623853 0.99082569 0.89678899 0.97477064 0.95183486],,,,[0.93084819 0.92193409 0.94867639 0.8441383  0.90491626],,,,[0.92740012 0.93261777 0.91949911 0.80903399 0.90323543],,,,[0.92741935 0.92369727 0.91364764 0.81538462 0.91177565],,,,[0.93185541 0.93502239 0.90706563 0.77798406 0.94583379],,,,[0.94152219 0.93564502 0.88833382 0.83847585 0.94348124],,,,[0.94645347 0.93492004 0.87430271 0.86993306 0.94979546],,,,[0.93362193 0.96103896 0.99132948 0.98554913 0.92919075],,,,[0.95487627 0.96298607 0.94446755 0.95819468 0.96318636],,,,[0.93667494 0.9698263  0.95513648 0.96545563 0.95284892],,,,[0.91166135 0.97098962 0.96355018 0.96477607 0.95881007],,,,[0.9050102  0.97188846 0.96629383 0.96160822 0.96115478],,,,[0.92568306 0.96473588 0.95701275 0.96313028 0.95402215],,,,[0.93308072 0.96575391 0.95838993 0.96003146 0.96031746],,,,[0.98284314 0.91666667 0.95588235 0.98034398 0.93366093],,,,[0.92727273 0.8460815  0.91504702 0.92852665 0.92758621],,,,[0.89023591 0.82093709 0.88859764 0.92824377 0.91431848],,,,[0.88896504 0.85071967 0.89388539 0.93611187 0.91732931],,,,[0.90159871 0.84793655 0.9162122  0.92811106 0.91398116],,,,[0.87394575 0.82847048 0.89092774 0.92318213 0.90915308],,,,[0.87115342 0.82510516 0.88764667 0.91875138 0.90213661],,,,[0.96566524 0.96351931 0.97854077 0.9527897  0.93347639],,,,[0.92443258 0.92363151 0.90253672 0.8400534  0.86378205],,,,[0.91620898 0.91212505 0.89014085 0.82239437 0.87802817],,,,[0.90883123 0.90405904 0.89191763 0.81561719 0.86632544],,,,[0.90685334 0.906063   0.88415942 0.80196455 0.86427281],,,,[0.91606    0.89840044 0.88747932 0.80353006 0.86960838],,,,[0.90034813 0.90316614 0.87857687 0.81906213 0.87052551],
,,0.6897435897435897,,,,0.7209401709401709,,,,0.7735042735042735,,,,0.7752136752136752,,,,0.8008547008547009,,,,0.8115384615384615,,,,0.8087606837606838,,,,0.6591494845360825,,,,0.759020618556701,,,,0.7832903780068728,,,,0.7826460481099656,,,,0.8122852233676976,,,,0.8234536082474226,,,,0.8305412371134021,,,,0.7955496805463759,,,,0.8697951090548579,,,,0.8854373209958141,,,,0.8889623265036352,,,,0.8990967173386208,,,,0.9010795329367702,,,,0.9109936109275171,,,,0.7374241110147441,,,,0.7825238508239376,,,,0.8237207285342585,,,,0.8297918473547268,,,,0.8336947094535994,,,,0.8362966175195143,,,,0.8412836079791848,,,,0.7537853851217906,,,,0.73908272986614,,,,0.7899934167215273,,,,0.8101821373710775,,,,0.8237875795479482,,,,0.8299319727891157,,,,0.8283958744788238,
,,0.7348314606741573,,,,0.7601123595505618,,,,0.7741573033707865,,,,0.7932584269662921,,,,0.7887640449438202,,,,0.7780898876404494,,,,0.7775280898876404,,,,0.7660668380462725,,,,0.7077977720651243,,,,0.715509854327335,,,,0.6358183376178235,,,,0.6983718937446444,,,,0.6649528706083976,,,,0.6812339331619537,,,,0.3416666666666667,,,,0.34,,,,0.47833333333333333,,,,0.47,,,,0.5083333333333333,,,,0.54,,,,0.5533333333333333,,,,0.8751842751842752,,,,0.7705159705159705,,,,0.8432432432432433,,,,0.8206388206388207,,,,0.8117936117936118,,,,0.827027027027027,,,,0.8437346437346437,,,,0.7784496976360638,,,,0.5777899945024739,,,,0.7152281473336999,,,,0.7608576140736668,,,,0.7855964815832875,,,,0.7844969763606378,,,,0.7949422759758109,
,,0.6620689655172414,,,,0.6968965517241379,,,,0.7731034482758621,,,,0.7641379310344828,,,,0.8082758620689655,,,,0.8320689655172414,,,,0.8279310344827586,,,,0.6233877901977644,,,,0.7761536256807108,,,,0.8059615935798223,,,,0.8317569504155918,,,,0.8503869303525365,,,,0.8764689022642591,,,,0.880481513327601,,,,0.8646864686468647,,,,0.9504950495049505,,,,0.9474485910129474,,,,0.9527798933739527,,,,0.9586189388169586,,,,0.9560802234069561,,,,0.9654734704239655,,,,0.6286379511059371,,,,0.7920062087698875,,,,0.8083042297244858,,,,0.8370197904540163,,,,0.8509895227008148,,,,0.843616608459449,,,,0.8393480791618161,,,,0.7373995617238861,,,,0.8462381300219138,,,,0.839663988312637,,,,0.8429510591672754,,,,0.8491599707815924,,,,0.8601168736303871,,,,0.8506208911614317,
,,0.7443402750871755,,,,0.8026193335916312,,,,0.8439612553273924,,,,0.8478193529639675,,,,0.8600681906237893,,,,0.8743743703990702,,,,0.8742450600542425,,,,0.773269914528781,,,,0.8216320947976294,,,,0.838737636194351,,,,0.8271676708018322,,,,0.8568282787647209,,,,0.8579263558894732,,,,0.8628098641758907,,,,0.7162071591774561,,,,0.8277561986967928,,,,0.8663450960480663,,,,0.8704586612507406,,,,0.8746983159854447,,,,0.8711269780824238,,,,0.8935292375391386,,,,0.8476699474371185,,,,0.8691997532509754,,,,0.9008080363144391,,,,0.9069514005486066,,,,0.910036716788754,,,,0.9119670416527228,,,,0.9158269286325165,,,,0.8224576150374406,,,,0.8304082465301134,,,,0.8717512291127136,,,,0.8961630159050781,,,,0.9096110731179005,,,,0.9126256771012576,,,,0.9113649405612618,
,,0.3854623525324778,,,,0.44420236528885615,,,,0.5358999178467445,,,,0.5441657868024573,,,,0.5874891812464644,,,,0.6046449684775395,,,,0.5994078625609649,,,,0.33801622002435916,,,,0.4411649598705368,,,,0.48261329649127077,,,,0.44869225374289784,,,,0.5256517319792793,,,,0.5354530505290978,,,,0.5547782139333883,,,,0.18940985507611274,,,,0.34747273520835026,,,,0.4630555550835925,,,,0.4708791521263981,,,,0.5200769796285944,,,,0.538076692678632,,,,0.5778309510442162,,,,0.509348725169586,,,,0.5607798922493573,,,,0.6475940388534661,,,,0.6559855046197467,,,,0.6627489502263486,,,,0.6690481872207732,,,,0.6803111830223265,,,,0.5062556389748276,,,,0.444064693911855,,,,0.5593370576404167,,,,0.6040889244286234,,,,0.6334472655816826,,,,0.6451550286008911,,,,0.6435127939062939,
,,,[0.90810811 0.95135135 0.84324324 0.95405405 0.88108108],,,,[0.83024055 0.64639175 0.68247423 0.79003436 0.81718213],,,,[0.74837463 0.62414338 0.65542084 0.7469689  0.80369069],,,,[0.75308463 0.64595732 0.63231238 0.74669763 0.80328107],,,,[0.77101944 0.6236206  0.68102995 0.77059519 0.80134017],,,,[0.78741007 0.62122302 0.73021583 0.77851061 0.81976256],,,,[0.78987342 0.61081703 0.75673188 0.79065485 0.8277132 ],,,,[0.98394495 0.96559633 0.98394495 0.97706422 0.99082569],,,,[0.89411129 0.90248514 0.93895192 0.83603458 0.89762291],,,,[0.87671437 0.89713775 0.88521169 0.81618962 0.8760996 ],,,,[0.89119107 0.91066998 0.90111663 0.8248139  0.86375481],,,,[0.88839139 0.90783008 0.90509992 0.7931637  0.88806378],,,,[0.8981291  0.89724753 0.8927417  0.80213537 0.9033206 ],,,,[0.90378358 0.89531424 0.87820751 0.82065824 0.91892897],,,,[0.98412698 0.97979798 0.99855491 0.99710983 0.97976879],,,,[0.93532959 0.95695571 0.95133111 0.9764975  0.97088186],,,,[0.90521092 0.96188586 0.95682382 0.96684534 0.95453643],,,,[0.89531748 0.96649506 0.95791108 0.97172279 0.95848316],,,,[0.89866243 0.9696214  0.96153265 0.97498489 0.96379988],,,,[0.89675774 0.96225865 0.95621129 0.97150976 0.96087147],,,,[0.90991635 0.96460999 0.95710302 0.97190047 0.96146146],,,,[0.95833333 0.92892157 0.97794118 0.96314496 0.96068796],,,,[0.90376176 0.84702194 0.90376176 0.92633229 0.91442006],,,,[0.87385321 0.83404325 0.86140236 0.92889908 0.89678899],,,,[0.89609321 0.85442084 0.88044968 0.94378942 0.91774061],,,,[0.86516297 0.83442806 0.87989588 0.92922657 0.89898364],,,,[0.87428767 0.83701846 0.89753818 0.93173011 0.9065314 ],,,,[0.85222493 0.8338499  0.89572725 0.91963693 0.89660135],,,,[0.96137339 0.972103   0.96995708 0.96351931 0.90772532],,,,[0.81281709 0.83925234 0.89612817 0.83791722 0.85416667],,,,[0.81059006 0.84241656 0.85619718 0.80690141 0.86253521],,,,[0.80290407 0.83918581 0.85323176 0.80395191 0.86144507],,,,[0.81099695 0.83730383 0.83177148 0.79575477 0.85309395],,,,[0.81833223 0.82206288 0.81952565 0.7724214  0.83585218],,,,[0.84018712 0.82874551 0.82722228 0.78837994 0.84713306]
