,[0.75135135 0.63603604 0.65585586 0.83783784 0.86642599],,,,[0.73635371 0.57150655 0.72816594 0.79464773 0.82960131],,,,[0.72958398 0.67539805 0.66409861 0.74678993 0.865434  ],,,,[0.74964582 0.68569116 0.69277474 0.78648047 0.85020243],,,,[0.74417344 0.69990967 0.69443441 0.80032526 0.85399349],,,,[0.77464091 0.70876672 0.72027741 0.81522457 0.86079921],,,,[0.76171757 0.71666163 0.70547324 0.81282129 0.84971273],,,,[0.79650838 0.72877095 0.75167598 0.85712291 0.86675978],,,,[0.80481283 0.94385027 0.97192513 0.92235609 0.90227577],,,,[0.87121444 0.92688896 0.92474763 0.8684613  0.86077111],,,,[0.87331201 0.91027008 0.94793888 0.86993603 0.81058991],,,,[0.88795145 0.93368857 0.94656602 0.87759029 0.81024275],,,,[0.89166326 0.93109565 0.94896288 0.87322598 0.81673035],,,,[0.86937279 0.92816492 0.95004426 0.87327684 0.84836221],,,,[0.8811601  0.93327046 0.953195   0.85662068 0.87324608],,,,[0.90271897 0.93559171 0.9504123  0.84988298 0.88086482],,,,[0.78676471 0.96691176 0.95128676 0.96047794 0.96231618],,,,[0.91282238 0.98619437 0.97493188 0.98510445 0.97511353],,,,[0.91037072 0.98556846 0.97453948 0.98064062 0.96609175],,,,[0.91121831 0.98552807 0.97546705 0.981318   0.96858961],,,,[0.90290698 0.98236434 0.9747093  0.97868217 0.96569767],,,,[0.88993711 0.98187199 0.97188309 0.97891232 0.96587125],,,,[0.89975226 0.9739869  0.97159795 0.97407538 0.9630154 ],,,,[0.92282794 0.97044293 0.97112436 0.97742568 0.96456257],,,,[0.78525641 0.81730769 0.88942308 0.94060995 0.90850722],,,,[0.86376812 0.85879917 0.9051367  0.94117647 0.91176471],,,,[0.8678733  0.84838199 0.86218601 0.94455759 0.93120616],,,,[0.88802083 0.85695685 0.86179315 0.95572093 0.92911628],,,,[0.8990951  0.86716749 0.87021858 0.96055328 0.92964481],,,,[0.8902439  0.86126069 0.87313906 0.95770632 0.93489625],,,,[0.89156803 0.85941838 0.89505992 0.95980707 0.9424145 ],,,,[0.90653184 0.86990981 0.9141842  0.96351462 0.94192402],,,,[0.75       0.90895296 0.93019727 0.90591806 0.94992413],,,,[0.73345725 0.81486989 0.89591078 0.86463369 0.88880625],,,,[0.80950396 0.81283868 0.86786161 0.83764068 0.86202584],,,,[0.85968276 0.85201325 0.85724246 0.8459125  0.83943515],,,,[0.86557587 0.84838761 0.85673031 0.84004492 0.83860099],,,,[0.86525143 0.81885258 0.84264418 0.85122722 0.83014606],,,,[0.87609742 0.81688146 0.84124062 0.8546948  0.81135816],,,,[0.89642665 0.84508935 0.86685476 0.85637512 0.81244122],,
,0.7636887608069164,,,,0.7065502183406114,,,,0.7448644207066557,,,,0.7623826481061833,,,,0.7629372651055218,,,,0.7699418911780243,,,,0.766569908079342,,,,0.7640223463687151,,,,0.8782051282051282,,,,0.9045521292217328,,,,0.8678226264923252,,,,0.8922566895571868,,,,0.9142108709888671,,,,0.925131525698098,,,,0.9479343520090548,,,,0.9518630771973614,,,,0.947136563876652,,,,0.9654170299331589,,,,0.9528903903903904,,,,0.9651888341543514,,,,0.9558139534883721,,,,0.9502811482687186,,,,0.9483295583238958,,,,0.952711910602344,,,,0.8948717948717949,,,,0.8999337309476475,,,,0.8769007965242578,,,,0.8645833333333334,,,,0.8617863971592461,,,,0.8778819356473271,,,,0.8739770867430442,,,,0.8817227809357236,,,,0.8813559322033898,,,,0.8929208804283165,,,,0.8212737579193065,,,,0.8053541550474066,,,,0.8087782340862423,,,,0.8157070585401108,,,,0.8121884911644767,,,,0.8022781001504405,,
,0.8692678521627114,,,,0.8493855786928436,,,,0.8692408724176528,,,,0.8763235930011917,,,,0.8774979288098226,,,,0.8808472783761165,,,,0.8778364022988858,,,,0.8828265510791722,,,,0.6691306691306692,,,,0.7496884280611608,,,,0.7657926930236575,,,,0.7844065694052066,,,,0.8017232360620448,,,,0.8025100868348708,,,,0.8189042775399082,,,,0.8227650853490278,,,,0.8457625340885253,,,,0.866197458455523,,,,0.8461221010166794,,,,0.852449609853261,,,,0.857547939616483,,,,0.8507423990000421,,,,0.8595437605798032,,,,0.8585728245248893,,,,0.8064434701740401,,,,0.8550750292763964,,,,0.8623006315024813,,,,0.8723157677609865,,,,0.8800213868501221,,,,0.8853888132313715,,,,0.886406830341369,,,,0.8869824560583068,,,,0.8338752450132596,,,,0.8334862788712722,,,,0.8271074759501066,,,,0.8360620531516967,,,,0.8471666500566878,,,,0.8519358995821681,,,,0.8662859652228989,,,,0.8634594973945379,,
,0.5873755311727761,,,,0.587021101097568,,,,0.6078304716535905,,,,0.6170760767365235,,,,0.6153772580509743,,,,0.6270713930900051,,,,0.622467495036711,,,,0.629735449658297,,,,0.20837848314971993,,,,0.34169972489261063,,,,0.3889227312064029,,,,0.43920898836195515,,,,0.47570271207717585,,,,0.46299316103074584,,,,0.531692077822318,,,,0.5360522832328154,,,,0.5227119533893323,,,,0.45279946108153335,,,,0.4647523569858015,,,,0.5074402713455077,,,,0.5110983034266974,,,,0.4870084304703029,,,,0.5251302044440681,,,,0.5408154747263647,,,,0.45388639392727836,,,,0.5497106445345502,,,,0.5627675528376268,,,,0.5710780749043624,,,,0.5921422699795336,,,,0.6096660852006041,,,,0.6025320666301038,,,,0.613420249443006,,,,0.3821328638192804,,,,0.438502206472951,,,,0.4726973929609548,,,,0.4799584497032682,,,,0.5222373120058157,,,,0.5312139133182275,,,,0.5532449071545251,,,,0.536439496765416,,
,,[0.72612613 0.65585586 0.65225225 0.81621622 0.8700361 ],,,,[0.75163755 0.56495633 0.71888646 0.79683233 0.83670126],,,,[0.72316384 0.6584489  0.69774011 0.75295326 0.8651772 ],,,,[0.75328881 0.67739324 0.70572759 0.78830196 0.84554656],,,,[0.73459801 0.67949413 0.69732562 0.77864113 0.83375497],,,,[0.76952287 0.70546475 0.74339498 0.79838177 0.85601057],,,,[0.79225884 0.7364681  0.75748412 0.83202298 0.84668884],,,,[0.77807263 0.70949721 0.7575419  0.83086592 0.85111732],,,,[0.85828877 0.90641711 0.92914439 0.86880857 0.85943775],,,,[0.90578158 0.93759559 0.90272255 0.84276537 0.8378213 ],,,,[0.90991471 0.92839375 0.93496802 0.85429993 0.79584222],,,,[0.91104204 0.9402013  0.92599171 0.86915335 0.79647721],,,,[0.91076545 0.9463774  0.94186681 0.85248362 0.80799672],,,,[0.8997218  0.95232073 0.93942077 0.85443278 0.83837106],,,,[0.90910163 0.94918651 0.9388116  0.84447589 0.85426247],,,,[0.91809672 0.94406062 0.93536884 0.83584086 0.87295219],,,,[0.84834559 0.95404412 0.96415441 0.94025735 0.92738971],,,,[0.90519433 0.97856494 0.96312443 0.97529519 0.94986376],,,,[0.9250264  0.97782211 0.96068998 0.97136822 0.94473128],,,,[0.91130274 0.97587269 0.96498973 0.96806982 0.94856263],,,,[0.88661692 0.97654812 0.9673418  0.96327163 0.94088002],,,,[0.88799482 0.96883093 0.96281565 0.96744057 0.94089353],,,,[0.90054858 0.96522739 0.9609769  0.95964959 0.93177595],,,,[0.92699549 0.96106994 0.96294403 0.96174817 0.93644573],,,,[0.79326923 0.80448718 0.86378205 0.92134831 0.90048154],,,,[0.8621118  0.85010352 0.9001657  0.93247722 0.91093621],,,,[0.88778281 0.85358678 0.85426567 0.93935279 0.92554877],,,,[0.9015997  0.87425595 0.8656994  0.94325581 0.92930233],,,,[0.89755848 0.87331398 0.87807377 0.94450137 0.92196038],,,,[0.87741527 0.85951853 0.86284447 0.94645969 0.92190718],,,,[0.85357299 0.832968   0.8668518  0.93861444 0.91961415],,,,[0.87838207 0.84667942 0.89204701 0.9462968  0.92661929],,,,[0.81031866 0.8952959  0.89681335 0.87708649 0.93019727],,,,[0.87992565 0.87546468 0.88434362 0.87095575 0.88025288],,,,[0.88140892 0.86327637 0.85827428 0.83826594 0.84660275],,,,[0.89628726 0.88722329 0.87345302 0.82917901 0.83281032],,,,[0.8885146  0.88191882 0.86796085 0.84004492 0.8355527 ],,,,[0.89927733 0.88736636 0.88375245 0.83195302 0.82939316],,,,[0.88770886 0.85950998 0.86956522 0.84251522 0.79974508],,,,[0.88688877 0.87330378 0.8770657  0.84280532 0.80196157],
,,0.776595744680851,,,,0.8054898248935163,,,,0.7892969099865652,,,,0.8039180765805877,,,,0.8015770840038623,,,,0.7992630803242446,,,,0.7950302216252518,,,,0.79708893548785,,,,0.7443868739205527,,,,0.7912005965697241,,,,0.7715632042614219,,,,0.7807077237155495,,,,0.8091482649842271,,,,0.8008237716975581,,,,0.8242316136114161,,,,0.8186649384316267,,,,0.8575031525851198,,,,0.9031216361679225,,,,0.907826982492276,,,,0.8882274147938681,,,,0.889431121026213,,,,0.8862946840786176,,,,0.8831460674157303,,,,0.890755301405766,,,,0.7787307032590052,,,,0.8168825368468066,,,,0.7942196531791907,,,,0.8056450085243417,,,,0.8102787456445993,,,,0.8065447545717036,,,,0.8026392961876833,,,,0.8108144735058951,,,,0.7606177606177607,,,,0.7690602836879432,,,,0.7467517665830864,,,,0.7531024263752547,,,,0.7618808567603749,,,,0.7721283521934584,,,,0.7746255760368663,,,,0.7778680753081403,
,,0.8018433179723502,,,,0.8863636363636364,,,,0.8533464566929134,,,,0.8669833729216152,,,,0.8667876588021779,,,,0.8576192064021341,,,,0.8562367864693446,,,,0.8631607929515418,,,,0.45045045045045046,,,,0.4381846635367762,,,,0.5253118121790169,,,,0.5395770392749245,,,,0.5662308129619101,,,,0.5226293103448276,,,,0.5546049320583795,,,,0.52659069325736,,,,0.6428571428571429,,,,0.5236363636363637,,,,0.5662650602409639,,,,0.5214626391096979,,,,0.554016620498615,,,,0.5771567436208992,,,,0.5909090909090909,,,,0.5890151515151515,,,,0.533678756476684,,,,0.6657534246575343,,,,0.6525911708253359,,,,0.679520583637311,,,,0.7075517075517076,,,,0.6943594228246611,,,,0.7121510027526543,,,,0.7126559714795009,,,,0.4857142857142857,,,,0.5130434782608696,,,,0.6573074154067674,,,,0.6841234840132304,,,,0.7140797693416626,,,,0.7240330291177749,,,,0.75898854207823,,,,0.7539362870743318,
,,0.760806916426513,,,,0.737117903930131,,,,0.7358258011503698,,,,0.7523470378763354,,,,0.749638623879734,,,,0.7530375066032752,,,,0.7460087082728593,,,,0.743463687150838,,,,0.8141025641025641,,,,0.9016152716593245,,,,0.8669698692438885,,,,0.8752071986739285,,,,0.9024230517354289,,,,0.9053014973694861,,,,0.9252971137521222,,,,0.9283294704938492,,,,0.8928046989720999,,,,0.933449578610869,,,,0.9397522522522522,,,,0.9261083743842364,,,,0.9269767441860465,,,,0.9239419946729802,,,,0.922281993204983,,,,0.9341782502044154,,,,0.9,,,,0.8899933730947648,,,,0.8743664011585808,,,,0.8776785714285714,,,,0.8686151324774651,,,,0.8715480111477071,,,,0.856441430909516,,,,0.8710100568430258,,,,0.8305084745762712,,,,0.8566329565734682,,,,0.7881921280853903,,,,0.7880055788005579,,,,0.7874197689345315,,,,0.7987951807228916,,,,0.7835939270337638,,,,0.7919174548581256,
,,0.86006454268981,,,,0.8618120466274496,,,,0.8616121109091028,,,,0.8758554285671809,,,,0.879961057951875,,,,0.8752134229634918,,,,0.8744943077983885,,,,0.8780944983141781,,,,0.6810271810271811,,,,0.7665244198097707,,,,0.7716787826739081,,,,0.7783226368620123,,,,0.7993936196656755,,,,0.7896655078217671,,,,0.8067909246358642,,,,0.8067420474860898,,,,0.8378697293895532,,,,0.8466988983118016,,,,0.8532218212188091,,,,0.8100874273288067,,,,0.8225637226481135,,,,0.833375465718682,,,,0.8440272147852674,,,,0.8546847383276757,,,,0.8391390992427261,,,,0.8514846991112685,,,,0.8516126685948548,,,,0.8642388768952083,,,,0.8749708817996172,,,,0.8710024129288942,,,,0.8729490362215993,,,,0.8818633101767956,,,,0.7743802605788078,,,,0.8038745053410238,,,,0.8015816639938984,,,,0.8290974121930929,,,,0.8382955020020368,,,,0.846896844221737,,,,0.8603964813202757,,,,0.8612359826494504,
,,0.5496640823626233,,,,0.6242350014344202,,,,0.5880044557620826,,,,0.6170615303417399,,,,0.6131441659338372,,,,0.6068806853900658,,,,0.5991255984347731,,,,0.604305285621461,,,,0.2450336404233039,,,,0.37733348321483245,,,,0.4105757521250464,,,,0.4358304604625833,,,,0.5004573256479329,,,,0.46682281384642843,,,,0.5288533362724337,,,,0.5106683750825685,,,,0.48261606409575886,,,,0.3981841271554205,,,,0.46445483277731936,,,,0.40745189919647234,,,,0.4430714067556607,,,,0.46283434156153325,,,,0.4797253389731155,,,,0.5131779138116327,,,,0.4754618108369763,,,,0.5734172553437933,,,,0.5444821333728491,,,,0.5722906695736585,,,,0.5845618612125957,,,,0.5773940679218577,,,,0.5743922482444439,,,,0.5936700603765116,,,,0.3004518359055776,,,,0.3785235704505519,,,,0.4336566654546886,,,,0.46173067189132316,,,,0.4904779199360096,,,,0.5140270531626806,,,,0.530144037006199,,,,0.5358051071898784,
,,,[0.75495495 0.5963964  0.61441441 0.82162162 0.86823105],,,,[0.76310044 0.569869   0.68395197 0.75641726 0.81376297],,,,[0.75346687 0.65588084 0.61504879 0.7259887  0.86235234],,,,[0.75409836 0.67253592 0.6061526  0.73527626 0.82672065],,,,[0.77542909 0.69051491 0.6295627  0.75099386 0.83176726],,,,[0.77084365 0.69704474 0.63606341 0.7655218  0.81770145],,,,[0.78923496 0.69942546 0.63562141 0.77245237 0.81871787],,,,[0.79594972 0.69748603 0.64259777 0.79120112 0.82430168],,,,[0.76737968 0.9131016  0.95187166 0.88888889 0.87550201],,,,[0.86295503 0.9070052  0.89660447 0.8449067  0.83017136],,,,[0.85838664 0.89214641 0.94385217 0.85945274 0.81005686],,,,[0.85109532 0.90023683 0.9455299  0.86752516 0.80965068],,,,[0.8560513  0.91499522 0.94459607 0.85098253 0.79721616],,,,[0.84572585 0.91109144 0.94814721 0.86733274 0.83116226],,,,[0.86241452 0.92501768 0.95060127 0.85402665 0.83292065],,,,[0.8650546  0.91196791 0.94673501 0.85623537 0.84286192],,,,[0.82444853 0.96783088 0.95863971 0.96139706 0.95128676],,,,[0.91245914 0.98128974 0.9760218  0.97801998 0.97420527],,,,[0.90238179 0.97218963 0.96491434 0.96714386 0.95881249],,,,[0.9009342  0.97330595 0.96971253 0.97402464 0.96560575],,,,[0.8898149  0.97179959 0.97209032 0.97354395 0.96326808],,,,[0.88013319 0.9717906  0.96818056 0.97289797 0.96707058],,,,[0.89400106 0.96460803 0.97053358 0.97230334 0.96522432],,,,[0.90178039 0.95212539 0.9680552  0.97026751 0.96447436],,,,[0.77884615 0.81410256 0.88782051 0.93579454 0.88282504],,,,[0.82650104 0.82774327 0.88566694 0.91300746 0.8918807 ],,,,[0.86674208 0.8581127  0.85743381 0.93052727 0.92419099],,,,[0.86328125 0.84914435 0.83872768 0.94530233 0.92353488],,,,[0.87775312 0.86204542 0.85536202 0.94620902 0.92520492],,,,[0.88929363 0.86854609 0.86997149 0.94899414 0.93457944],,,,[0.85868771 0.85678796 0.8681672  0.9507454  0.9280912 ],,,,[0.85979776 0.84394643 0.8731894  0.95504236 0.93440831],,,,[0.78603945 0.89681335 0.91502276 0.87101669 0.88467375],,,,[0.76208178 0.83680297 0.89624396 0.87095575 0.86760878],,,,[0.8057524  0.81533972 0.87015423 0.82034181 0.83639016],,,,[0.81784905 0.80913369 0.84730695 0.82952763 0.82304742],,,,[0.83092717 0.81357292 0.83362747 0.82335954 0.82095299],,,,[0.84176453 0.79671736 0.83631983 0.83541635 0.80304171],,,,[0.84678561 0.78614927 0.83104376 0.83770004 0.79181419],,,,[0.85531972 0.79860271 0.84549241 0.83729679 0.78852613]
